Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12_MULTIPLE_CHOICE,Q17,Q18,Q20,Q22,Q23,Q24,Q25,Q26,Q32,Q37,Q40,Q43,Q46,Q48
Male,1,United States of America,Bachelor’s degree,Mathematics or statistics,Data Analyst,Other,0-1,10209,"We recently started using ML methods (i.e., models in production for less than 2 years)","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",R,R,Other,ggplot2,2,3,3,5,Tabular Data,Other,Independent projects are much more important than academic achievements,50-60,60-70,I am confident that I can explain the outputs of most if not all ML models
Male,9,United States of America,Some college/university study without earning a bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Other,Shipping/Transportation,3-4,105109,No (we do not use ML methods),"Local or hosted development environments (RStudio, JupyterLab, etc.)",R,Python,Other,ggplot2,1,3,2,0,Tabular Data,Other,Independent projects are equally important as academic achievements,0-10,10-20,I do not know; I have no opinion on the matter
Male,2,United States of America,Doctoral degree,Engineering (non-computer focused),Data Scientist,Insurance/Risk Assessment,0-1,126588,"We have well established ML methods (i.e., models in production for more than 2 years)",Other,Python,Python,Keras,Other,2,5,4,5,Other,Other,Independent projects are equally important as academic achievements,0-10,50-60,I do not know; I have no opinion on the matter
Female,6,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,"Humanities (history, literature, philosophy, etc.)",Data Analyst,Other,0-1,40577,I do not know,Other,R,R,Other,ggplot2,3,4,5,4,Text Data,DataCamp,Independent projects are equally important as academic achievements,0,0-10,I do not know; I have no opinion on the matter
Male,2,Brazil,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,1-2,17441,"We have well established ML methods (i.e., models in production for more than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,TensorFlow,Matplotlib,3,4,6,5,Text Data,Coursera,Independent projects are slightly more important than academic achievements,90-100,90-100,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Female,2,United States of America,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,0-1,46175,"We recently started using ML methods (i.e., models in production for less than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,SQL,Scikit-Learn,Matplotlib,3,4,4,4,Text Data,Other,Independent projects are slightly more important than academic achievements,0,90-100,I am confident that I can understand and explain the outputs of many but not all ML models
Male,2,China,Doctoral degree,"Computer science (software engineering, etc.)",Student,I am a student,5-10,1710,We are exploring ML methods (and may one day put a model into production),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Python,Python,Keras,Other,4,4,4,4,Other,developers.google.com,Independent projects are equally important as academic achievements,10-20,30-40,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,4,United States of America,Master’s degree,"Computer science (software engineering, etc.)",Product/Project Manager,Computers/Technology,5-10,191745,"We have well established ML methods (i.e., models in production for more than 2 years)","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Python,Python,Scikit-Learn,D3,1,6,4,1,Numerical Data,Coursera,No opinion; I do not know,0,20-30,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,4,India,Professional degree,Mathematics or statistics,Marketing Analyst,Marketing/CRM,10-15,9171,We use ML methods for generating insights (but do not put working models into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,None,Keras,Other,2,3,3,5,Tabular Data,Online University Courses,Independent projects are much more important than academic achievements,0-10,0-10,I am confident that I can understand and explain the outputs of many but not all ML models
Male,1,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,1-2,6949,No (we do not use ML methods),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Python,Python,Other,Other,1,2,2,0,Other,Udemy,Independent projects are equally important as academic achievements,0-10,0,I do not know; I have no opinion on the matter
Male,5,China,Doctoral degree,"Information technology, networking, or system administration",Data Scientist,Broadcasting/Communications,5-10,55759,We are exploring ML methods (and may one day put a model into production),Other,Python,Python,Keras,Matplotlib,2,5,7,5,Text Data,Coursera,Independent projects are equally important as academic achievements,20-30,40-50,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,3,Russia,Master’s degree,"Computer science (software engineering, etc.)",Product/Project Manager,Accounting/Finance,1-2,40848,"We have well established ML methods (i.e., models in production for more than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",Java,Python,Scikit-Learn,Matplotlib,1,2,2,0,Text Data,Other,Independent projects are equally important as academic achievements,10-20,90-100,I am confident that I can explain the outputs of most if not all ML models
Male,2,United States of America,Doctoral degree,"Information technology, networking, or system administration",Student,I am a student,3-4,16317,We use ML methods for generating insights (but do not put working models into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,Scikit-Learn,Matplotlib,2,4,5,4,Sensor Data,Other,Independent projects are much more important than academic achievements,10-20,20-30,I am confident that I can understand and explain the outputs of many but not all ML models
Male,8,United States of America,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Broadcasting/Communications,0-1,116429,"We recently started using ML methods (i.e., models in production for less than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,Scikit-Learn,Matplotlib,2,8,3,5,Tabular Data,Other,Independent projects are slightly less important than academic achievements,0-10,20-30,I am confident that I can explain the outputs of most if not all ML models
Male,4,India,Master’s degree,Engineering (non-computer focused),Principal Investigator,Manufacturing/Fabrication,15-20,35384,We are exploring ML methods (and may one day put a model into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,TensorFlow,Other,2,4,3,2,Sensor Data,Coursera,Independent projects are much more important than academic achievements,30-40,30-40,I am confident that I can understand and explain the outputs of many but not all ML models
Male,4,China,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Accounting/Finance,5-10,102501,"We recently started using ML methods (i.e., models in production for less than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,TensorFlow,Other,2,4,6,4,Time Series Data,Other,Independent projects are equally important as academic achievements,0-10,20-30,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,0,United States of America,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,98091,"We have well established ML methods (i.e., models in production for more than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,PyTorch,Matplotlib,4,3,4,2,Text Data,Udacity,Independent projects are much more important than academic achievements,0-10,80-90,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,2,Russia,Master’s degree,Mathematics or statistics,Data Scientist,Marketing/CRM,1-2,32477,We are exploring ML methods (and may one day put a model into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,Scikit-Learn,Matplotlib,2,3,4,5,Tabular Data,Other,Independent projects are equally important as academic achievements,0-10,10-20,I am confident that I can understand and explain the outputs of many but not all ML models
Male,4,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,3-4,6944,We are exploring ML methods (and may one day put a model into production),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Python,Python,PyTorch,Other,1,6,4,5,Other,edX,Independent projects are equally important as academic achievements,20-30,20-30,"Yes, most ML models are ""black boxes"""
Male,1,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,2776,We use ML methods for generating insights (but do not put working models into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,Other,Other,2,3,3,1,Other,Other,Independent projects are slightly more important than academic achievements,30-40,10-20,"Yes, most ML models are ""black boxes"""
Male,2,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,11771,We are exploring ML methods (and may one day put a model into production),Other,Python,C++,TensorFlow,Matplotlib,3,3,3,2,Categorical Data,DataCamp,Independent projects are slightly more important than academic achievements,20-30,10-20,I am confident that I can understand and explain the outputs of many but not all ML models
Male,1,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,5-10,6034,No (we do not use ML methods),Other,Java,MATLAB,Other,Other,1,2,1,2,Sensor Data,Other,Independent projects are slightly more important than academic achievements,0-10,10-20,I am confident that I can understand and explain the outputs of many but not all ML models
Male,1,China,Bachelor’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,0-1,31894,"We have well established ML methods (i.e., models in production for more than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,Scikit-Learn,Matplotlib,2,3,3,4,Other,Online University Courses,Independent projects are slightly less important than academic achievements,20-30,10-20,I am confident that I can understand and explain the outputs of many but not all ML models
Male,1,China,Master’s degree,Engineering (non-computer focused),Student,I am a student,2-3,3232,I do not know,Other,Python,Python,Scikit-Learn,Other,3,2,2,0,Other,Other,Independent projects are equally important as academic achievements,0-10,60-70,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,2,China,I prefer not to answer,I never declared a major,Student,I am a student,1-2,2611,We are exploring ML methods (and may one day put a model into production),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",MATLAB,Python,Other,Other,4,3,3,2,Other,Other,Independent projects are much more important than academic achievements,10-20,0-10,"Yes, most ML models are ""black boxes"""
Male,2,China,Master’s degree,"Information technology, networking, or system administration",Data Engineer,Computers/Technology,0-1,43844,We are exploring ML methods (and may one day put a model into production),"Advanced statistical software (SPSS, SAS, etc.)",Python,Python,TensorFlow,Seaborn,1,3,3,4,Other,Coursera,No opinion; I do not know,0-10,0-10,"Yes, most ML models are ""black boxes"""
